# pages.csv — living URL inventory (GATE 2A). Header note: this file is REGENERATED BY CI POST-BUILD per specs/url-inventory.md (route manifest + preview crawl + sitemap + link graph + redirect/canonical/hreflang resolution). This S0 seed fills only what is knowable pre-build; runtime fields (http_status, final_url, title, meta_description, h1, word_count, internal_in/out_links, similarity_cluster, lastmod) = pending-build. Rows with {city}/{area}/{slug}/{...} are template families; the 6 /stays-in-{city} rows are the Day-1 active instances. Locale = en-PK (root) + ur-PK (/ur, next-intl as-needed). FUTURE families use rendering-and-routes.md §5 LOCKED slugs (supersede intent-map illustrative slugs — see review/reconciliation.md).
"url","page_type","locale","destination","parent_destination","http_status","final_url","indexability","robots_directive","canonical","hreflang","html_lang","title","meta_description","h1","word_count","internal_in_links","internal_out_links","in_sitemap","schema_types","primary_intent","similarity_cluster","lastmod","data_source"
"/help/{category}/{slug}","help","en-PK","","","pending-build","pending-build","index (thin stub → noindex,follow)","index,follow | noindex,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;Article;FAQPage(if real)","Support: answer one specific how-to/task question","pending-build","pending-build","help articles (published); SEO-RULES §3.10"
"/ur/help/{category}/{slug}","help","ur-PK","","","pending-build","pending-build","index (thin stub → noindex,follow)","index,follow | noindex,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;Article;FAQPage(if real)","Support: answer one specific how-to/task question","pending-build","pending-build","help articles (published); SEO-RULES §3.10"
"/guides/{slug}","guide","en-PK","{City/Region}","","pending-build","pending-build","index (P4/future)","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;Article","Informational: destination travel & where-to-stay guidance","pending-build","pending-build","GW-009 (P4); guides content; SEO-RULES §3.7"
"/ur/guides/{slug}","guide","ur-PK","{City/Region}","","pending-build","pending-build","index (P4/future)","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;Article","Informational: destination travel & where-to-stay guidance","pending-build","pending-build","GW-009 (P4); guides content; SEO-RULES §3.7"
"/legal/terms","legal","en-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;WebPage","Legal: binding terms of service (guest + host)","pending-build","pending-build","GW-010; SEO-RULES §3.8"
"/ur/legal/terms","legal","ur-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;WebPage","Legal: binding terms of service (guest + host)","pending-build","pending-build","GW-010; SEO-RULES §3.8"
"/legal/privacy","legal","en-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;WebPage","Legal: privacy policy & data handling (PII, NADRA consent, residency)","pending-build","pending-build","GW-011; SEO-RULES §3.8"
"/ur/legal/privacy","legal","ur-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;WebPage","Legal: privacy policy & data handling (PII, NADRA consent, residency)","pending-build","pending-build","GW-011; SEO-RULES §3.8"
"/legal/guest-refund-policy","legal","en-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;WebPage","Legal: cancellation & refund policy (tiers, fees, force majeure)","pending-build","pending-build","GW-012; F16 canonical cancellation source"
"/ur/legal/guest-refund-policy","legal","ur-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;WebPage","Legal: cancellation & refund policy (tiers, fees, force majeure)","pending-build","pending-build","GW-012; F16 canonical cancellation source"
"/legal/host-terms","legal","en-PK","","","pending-build","pending-build","index (planned; no SCREENS row yet — G50 flag)","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;WebPage","Legal: host terms & hosting obligations","pending-build","pending-build","page-intent-map (planned); footer target §3.12"
"/ur/legal/host-terms","legal","ur-PK","","","pending-build","pending-build","index (planned; no SCREENS row yet — G50 flag)","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;WebPage","Legal: host terms & hosting obligations","pending-build","pending-build","page-intent-map (planned); footer target §3.12"
"/legal/cookie-policy","legal","en-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;WebPage","Legal: cookie policy + re-openable consent settings","pending-build","pending-build","GW-014; SEO-RULES §3.8"
"/ur/legal/cookie-policy","legal","ur-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;WebPage","Legal: cookie policy + re-openable consent settings","pending-build","pending-build","GW-014; SEO-RULES §3.8"
"/legal/community-standards","legal","en-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;WebPage","Legal: community standards / code of conduct","pending-build","pending-build","GW-013; SEO-RULES §3.8"
"/ur/legal/community-standards","legal","ur-PK","","","pending-build","pending-build","index","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;WebPage","Legal: community standards / code of conduct","pending-build","pending-build","GW-013; SEO-RULES §3.8"
"/legal/editorial-policy","legal","en-PK","","","pending-build","pending-build","index (future; recommended GW-017)","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;WebPage","Editorial governance: authorship, sourcing, fact-check, AI-content verification","pending-build","pending-build","testing-and-publishing §5 (recommended); pending SCREENS row"
"/ur/legal/editorial-policy","legal","ur-PK","","","pending-build","pending-build","index (future; recommended GW-017)","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;WebPage","Editorial governance: authorship, sourcing, fact-check, AI-content verification","pending-build","pending-build","testing-and-publishing §5 (recommended); pending SCREENS row"
"/legal/corrections","legal","en-PK","","","pending-build","pending-build","index (future; recommended GW-018)","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;WebPage","Editorial governance: how factual errors are reported & corrected","pending-build","pending-build","testing-and-publishing §5 (recommended); pending SCREENS row"
"/ur/legal/corrections","legal","ur-PK","","","pending-build","pending-build","index (future; recommended GW-018)","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;WebPage","Editorial governance: how factual errors are reported & corrected","pending-build","pending-build","testing-and-publishing §5 (recommended); pending SCREENS row"
"(any unmatched route)","404","en-PK","","","pending-build","pending-build","noindex","noindex","none (no self-canonical, §3.11)","n-a","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","no","(none)","Real not-found recovery (bilingual)","pending-build","pending-build","GW-015; SEO-RULES §3.11"
"(any unmatched route) (ur locale)","404","ur-PK","","","pending-build","pending-build","noindex","noindex","none (no self-canonical, §3.11)","n-a","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","no","(none)","Real not-found recovery (bilingual)","pending-build","pending-build","GW-015; SEO-RULES §3.11"
"(error boundary)","500","en-PK","","","pending-build","pending-build","noindex","noindex","none","n-a","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","no","(none)","Apologetic unhandled-error page","pending-build","pending-build","GW-016; SEO-RULES §3.11"
"(error boundary) (ur locale)","500","ur-PK","","","pending-build","pending-build","noindex","noindex","none","n-a","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","no","(none)","Apologetic unhandled-error page","pending-build","pending-build","GW-016; SEO-RULES §3.11"
"/{region}-stays","province/regional","en-PK","{Region}","Pakistan","pending-build","pending-build","index (future)","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","CollectionPage;ItemList","Commercial: multi-city regional stay discovery (e.g. northern-areas)","pending-build","pending-build","future; rendering-and-routes §5 (was /stays-in-{province} in intent-map)"
"/ur/{region}-stays","province/regional","ur-PK","{Region}","Pakistan","pending-build","pending-build","index (future)","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","CollectionPage;ItemList","Commercial: multi-city regional stay discovery (e.g. northern-areas)","pending-build","pending-build","future; rendering-and-routes §5 (was /stays-in-{province} in intent-map)"
"/{property-type}","property-type","en-PK","","Pakistan","pending-build","pending-build","index (future)","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","ItemList","Commercial: book a property type nationwide (e.g. farmhouses)","pending-build","pending-build","future; rendering-and-routes §5; entity-register §5 vocab"
"/ur/{property-type}","property-type","ur-PK","","Pakistan","pending-build","pending-build","index (future)","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","ItemList","Commercial: book a property type nationwide (e.g. farmhouses)","pending-build","pending-build","future; rendering-and-routes §5; entity-register §5 vocab"
"/{property-type}-in-{city}","property-type x city","en-PK","{City}","{City}","pending-build","pending-build","index (future; per-combo supply gate GATE21)","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;ItemList","Commercial: a property type in a specific city (e.g. apartments in Lahore)","pending-build","pending-build","future; rendering-and-routes §5"
"/ur/{property-type}-in-{city}","property-type x city","ur-PK","{City}","{City}","pending-build","pending-build","index (future; per-combo supply gate GATE21)","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","BreadcrumbList;ItemList","Commercial: a property type in a specific city (e.g. apartments in Lahore)","pending-build","pending-build","future; rendering-and-routes §5"
"/stays-near-{landmark}","landmark / POI","en-PK","{Landmark}","{City}","pending-build","pending-build","index (future; supply within radius)","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","ItemList;Place","Commercial: stays near a landmark (e.g. Faisal Mosque)","pending-build","pending-build","future; rendering-and-routes §5 (intent-map used /stays-near-{landmark}-{city})"
"/ur/stays-near-{landmark}","landmark / POI","ur-PK","{Landmark}","{City}","pending-build","pending-build","index (future; supply within radius)","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","ItemList;Place","Commercial: stays near a landmark (e.g. Faisal Mosque)","pending-build","pending-build","future; rendering-and-routes §5 (intent-map used /stays-near-{landmark}-{city})"
"/stays-for-{guest-type}","guest-type / use-case","en-PK","","","pending-build","pending-build","index (future; GATE25)","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","ItemList","Decision-support commercial: stays suited to a guest type (family/business)","pending-build","pending-build","future; rendering-and-routes §5; entity-register §8 graph"
"/ur/stays-for-{guest-type}","guest-type / use-case","ur-PK","","","pending-build","pending-build","index (future; GATE25)","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","ItemList","Decision-support commercial: stays suited to a guest type (family/business)","pending-build","pending-build","future; rendering-and-routes §5; entity-register §8 graph"
"/compare/{competitor}","comparison","en-PK","","","pending-build","pending-build","index (future; sourced facts GATE24)","index,follow","self","en-PK;ur-PK;x-default","en","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","WebPage;Article","Comparison: SalamStay vs a competitor (neutral, sourced, dated)","pending-build","pending-build","future; rendering-and-routes §5; entity-register §7 (was /salamstay-vs-{competitor})"
"/ur/compare/{competitor}","comparison","ur-PK","","","pending-build","pending-build","index (future; sourced facts GATE24)","index,follow","self","en-PK;ur-PK;x-default","ur","pending-build","pending-build","pending-build","pending-build","pending-build","pending-build","yes","WebPage;Article","Comparison: SalamStay vs a competitor (neutral, sourced, dated)","pending-build","pending-build","future; rendering-and-routes §5; entity-register §7 (was /salamstay-vs-{competitor})"
