"Gate ID","Category","Component","L1 status","L1 evidence","L2 status","L2 evidence","Overall","Severity","Confidence","Affected count","Examples","Repo files","Enforcement mechanism","Stage","Blocking","Complexity","Team"
"G10","Language & market","HTML lang","Pass","SEO §4 dir=rtl lang=ur; DESIGN §11 RTL rules; UPGRADED post-spec: locale-architecture.md §5 lang/dir per-route from [locale] segment (no global override)","Unable to verify","No rendered HTML/CI","Partial pass","Low","Highly likely / Unable to verify","All EN/UR pages","<html lang=ur dir=rtl>","SEO-RULES.md,DESIGN.md","spec","S0,S2","HARD","S","build-track"
"G11","Sitemaps","XML sitemap architecture","Pass","No spec; guest-web.md:111 defers; only active-city rule (SCREENS §6); UPGRADED post-spec: robots-sitemap.md §3 index+typed children + §4 inclusion rules + §5 content-driven lastmod/event triggers + §6 hreflang alternates","Unable to verify","No sitemap/CI","Partial pass","High","Highly likely / Unable to verify","All indexable pages","active cities only in sitemap","SCREENS.md,cities.md,guest-web.md","spec+CI","S0,S2,S4","HARD","M","build-track"
"G12","Information architecture","Site hierarchy","Partial pass","SEO §2/§3.3/§3.4 breadcrumbs; URL nesting; SCREENS §6 province field, §3.12 footer","Unable to verify","No pages/links/CI","Partial pass","Medium","Highly likely / Unable to verify","In-scope types covered; province/landmark/type/guest-type tiers absent","Home›City›Area›Listing","SEO-RULES.md,SCREENS.md","spec","S0,S1","HARD","M","design-loop"
"G13","Information architecture","Page-intent ownership","Pass","SEO §2 one-topic rule; §3.x per-type intent; §7; UPGRADED post-spec: page-intent-map.csv now exists (33 rows: primary/secondary/entity/audience/conversion/competing_urls=none/clarity/status)","Unable to verify","No page-intent-map.csv; no CI","Partial pass","High","Highly likely / Unable to verify","Every indexable route (no contracts yet)","city vs area vs guide intent unowned formally","SEO-RULES.md","spec","S0,S1,S3","HARD","M","content"
"G14","Entity & semantic data","Central source of truth","Pass","SEO §5 claims registry; SCREENS §6 cities table; city-facts.md required source + verify flags; no-hardcoded-price (HANDOFF §7.7); UPGRADED post-spec: source-of-truth-model.md §2 19-fact model (single owners) + §3 R1-R7 CI hooks (R3 placeholder blocker, R4 conflict blocklist, R7 fail-closed)","Unable to verify","No unified data model; no conflict/placeholder CI (ci.yml)","Partial pass","Critical","Highly likely / Unable to verify","All fact-bearing pages","price placeholder-until-real; claims verbatim §5","SEO-RULES.md,SCREENS.md,city-facts.md","spec+CI","S0,S2,S3","HARD","L","build-track"
"G15","Entity & semantic data","Entity consistency","Pass","SEO §7 fixed self-entity + Organization; §5 claims; SCREENS §6 name_en/ur + province; UPGRADED post-spec: entity-register.md §1-§7 (org, 7 provinces, 45-city alt-name policy, beta-6 areas, property-type + amenity vocab, competitors/services)","Unable to verify","No entity register; no CI","Partial pass","High","Highly likely / Unable to verify","All entities (register absent)","""SalamStay, a stays marketplace for Pakistan""","SEO-RULES.md,SCREENS.md","spec","S0,S2,S3","HARD","M","content"
"G16","Entity & semantic data","Semantic relationship graph","Pass","Implicit: URL nesting + breadcrumbs (SEO §3.3/3.4); cities.province (SCREENS §6); listing blueprint (DESIGN §9-B); UPGRADED post-spec: entity-register.md §8 machine-readable semantic graph (nodeTypes/edgeTypes/invariants)","Unable to verify","No graph artifact; no CI","Partial pass","Medium","Highly likely / Unable to verify","All entity edges (no explicit graph)","area→city, city→province","SEO-RULES.md,SCREENS.md,DESIGN.md","spec","S0,S2","HARD","M","build-track"
"G17","Page-type","Homepage","Pass","SEO §3.1 full template (blocks/headings/JSON-LD/links); SCREENS GW-001; DESIGN §9-I","Unable to verify","Not built; no CI","Partial pass","Low","Highly likely / Unable to verify","1 template (+ /ur)","H1 ""Shariah-respectful stays across Pakistan""","SEO-RULES.md,SCREENS.md,DESIGN.md","spec","S0,S1,S3","HARD","S","design-loop"
"G18","Page-type","City pages","Pass","SEO §3.2 template + §6 uniqueness bar; city-facts.md content source; SCREENS §6 anti-doorway","Unable to verify","No pages; 12 verify-flags manual; no CI","Partial pass","Medium","Highly likely / Unable to verify","6 Day-1 city pages (up to 45)","/stays-in-lahore ≥3 named areas","SEO-RULES.md,city-facts.md,SCREENS.md","spec+manual","S1,S2,S3","HARD","M","content"
"G19","Page-type","Area pages","Pass","SEO §3.3 template + §6 uniqueness bar; GW-003 noindex-unless-clears; UPGRADED post-spec: similarity §5 area eligibility (≥8 listings/≥2 hosts/≥5 unique facts + 6 dispositions) + §2/§3 %-identical shingle measure","Unable to verify","No %-identical measure; threshold not numeric; no CI","Partial pass","High","Highly likely / Unable to verify","~25-40 area pages (supply-earned)","/stays-in-islamabad/f-7","SEO-RULES.md,SCREENS.md","spec","S1,S2,S3","HARD","M","content"
"G20","Page-type","Province/regional pages","Not applicable","SCREENS §4 scope + §6 city→area only; province is a field","Not applicable","No such pages","Not applicable","Informational","Confirmed","0 pages (deferred)","northern-areas intent unowned","SCREENS.md,cities.md","spec","S1,S3","HARD","—","design-loop"
"G21","Page-type","Property-type pages","Not applicable","Not in SCREENS §2 registry; type is a filter facet only","Not applicable","No such pages","Not applicable","Informational","Confirmed","0 pages","type = facet, not page","SCREENS.md,DESIGN.md","spec","S1,S2,S3","HARD","—","design-loop"
"G22","Page-type","Booking/host/support guides","Partial pass","SEO §3.6, §3.10 help hub+categories; SCREENS HA-001/GW-020/HA-070","Unable to verify","No guides; no CI","Partial pass","Medium","Highly likely / Unable to verify","Help hub + become-host + host help","/help/verification/…","SEO-RULES.md,SCREENS.md","spec","S1,S3","HARD","M","content"
"G23","Page-type","Blog/informational","Partial pass","SEO §3.7 article template + Article JSON-LD + no-template-fill; SCREENS GW-009 (P4)","Unable to verify","No articles; no taxonomy/author model; no CI","Partial pass","Medium","Highly likely / Unable to verify","Guide template (P4)","/guides/where-to-stay-in-lahore","SEO-RULES.md,SCREENS.md","spec","S0,S3","HARD","M","content"
"G24","Page-type","Competitor comparison","Not applicable","Not in SCREENS §2; SEO §5/§6 ban superlatives/competitor claims","Not applicable","No such pages","Not applicable","Informational","Confirmed","0 pages","—","SCREENS.md,SEO-RULES.md","spec","S0,S3","HARD","—","content"
"G25","Page-type","Guest-type/use-case","Not applicable","Not in SCREENS §2; use-case = facet (DESIGN §9-A, SEO §3.2)","Not applicable","No such pages","Not applicable","Informational","Confirmed","0 pages","women-only/family = filters","SCREENS.md,DESIGN.md,SEO-RULES.md","spec","S0,S1,S3","HARD","—","design-loop"
"G26","Content quality","Main-content identification","Pass","SEO §2 landmarks singular + article/section; DESIGN §9 blueprints; UPGRADED post-spec: design-to-nextjs §2 main.indexable landmark contract + similarity §1 main-content region (chrome excluded)","Unable to verify","No DOM/CI","Partial pass","Medium","Highly likely / Unable to verify","All templates","one <main>, <article> body","SEO-RULES.md,DESIGN.md","spec","S1,S2","HARD","M","design-loop"
"G27","Content quality","Topic coverage","Partial pass","SEO §3.2 city blocks; city-facts.md subtopics (areas/season/load-shedding/transport)","Unable to verify","No content; coverage checklist partial; no CI","Partial pass","Medium","Highly likely / Unable to verify","City pages (+ per-type blocks)","Islamabad: areas+landmarks+weather+transport","SEO-RULES.md,city-facts.md","spec","S0,S3","HARD","M","content"
"G28","Content quality","Keywords/synonyms","Pass","SEO §7 exact-query+question-H2s+no-LSI; §6 no-stuffing; §3.4 title normalization; UPGRADED post-spec: entity-register §5 canonical-form/synonym table (guest house/farmhouse/apartment vs flat) + page-intent-map secondary_intents per route","Unable to verify","No per-contract phrase map; no CI","Partial pass","Medium","Highly likely / Unable to verify","Every indexable page","""stays in Lahore"" in H1/title","SEO-RULES.md","spec","S3","HARD","M","content"
"G29","Content quality","Passage structure","Partial pass","SEO §7 answer-first + question-H2 + FAQ; §3.x heading outlines; §3.9 GW-007 table","Unable to verify","No content; no dup-passage check; no CI","Partial pass","Low","Highly likely / Unable to verify","All indexable pages","GW-007 party-type→doc <table>","SEO-RULES.md,DESIGN.md","spec","S1,S3","HARD","M","design-loop"
"G30","Content quality","Headings","Pass","SEO §2 one-H1 + gap-free outline; §3.x verbatim per-type H1/H2 sets","Partial pass","No rendered HTML; no heading-linter CI; design-time: scripts/validate-screens.mjs + PostToolUse hook (2026-07-24)","Partial pass","Low","Highly likely / Unable to verify","All indexable pages","City H1 ""Stays in {City}"" + 4 H2s","SEO-RULES.md","spec","S1,S2","HARD","S","design-loop"
"G31","Content quality","Thin-content prevention","Pass","SEO §6 uniqueness bar, §3.3 merge-thin, §3.10 noindex-stub; SCREENS §6 anti-doorway; UPGRADED post-spec: similarity §4 intent+inventory thin rules (fail-closed) + §5 numeric thresholds (city N=10, area N=8)","Unable to verify","No numeric thresholds; no publish CI (ci.yml)","Partial pass","High","Highly likely / Unable to verify","All templated pages (city/area/help)","near-zero city → not indexable","SEO-RULES.md,SCREENS.md","spec+CI","S2,S3","HARD","M","build-track"
"G32","Content quality","Scaled content/template risk","Pass","SCREENS §6 template registry + anti-doorway; SEO §6 no place-swap; city-facts.md per-city source; UPGRADED post-spec: similarity §1 template registry (changed-fields) + §2 repeated-text % limit per template + §6 kill-rules","Unable to verify","No repeated-text % limit/calc; no publish CI","Partial pass","High","Highly likely / Unable to verify","GW-002/003/009 template families","city template designed once, instances earned","SCREENS.md,SEO-RULES.md,city-facts.md","spec+CI","S2,S3","HARD","M","build-track"
"G33","Content quality","Duplicate/near-dup prevention","Pass","No similarity system; only qualitative uniqueness bar (SEO §6, SCREENS §6); UPGRADED post-spec: similarity-and-content-quality.md §3 6-method system (exact/normalized/structural/shingle/embedding/cross-language) + §2 thresholds","Unable to verify","No similarity engine/clusters/CI","Partial pass","Critical","Highly likely / Unable to verify","All templated + EN/UR pairs","city-area & UR/EN similarity unmeasured","SEO-RULES.md,SCREENS.md","spec+CI","S2,S4,S5","HARD","L","build-track"
"G34","Page-intent clarity","Query-to-page map","Pass","SEO-RULES §3.1-3.12 per-type primary topic/H1/title + SCREENS §2 per-row purpose/SEO-class; UPGRADED post-spec: page-intent-map.csv = intended query→page map (S0 HARD portion satisfied; S5 ranking check still needs launch)","Unable to verify","No Search Console, no launch, no page-intent-map.csv (find -iname *intent* = 0)","Partial pass","High","Highly likely","16 indexable rows / 6 Day-1 city pages","/stays-in-{city}, /guides/{slug}, GW-001..GW-014","SEO-RULES.md §3, SCREENS.md §2, gates/semantic-seo/page-intent-map.csv","CI check + Search Console (both absent)","S0,S5","HARD(S0)/SOFT(S5)","M","SEO eng + Content"
"G35","Cannibalisation control","Intent-collision gate","Pass","SEO-RULES §2 one-topic, §3.2/§3.3 city-vs-area non-compete, §3.5 search noindex+canonical, §6 doorway; SCREENS §6 anti-doorway; UPGRADED post-spec: page-intent-map.csv competing_urls=none (one-owner) + rendering-and-routes §3.1 global slug-uniqueness collision guard + entity §3 alt-name-never-second-canonical","Unable to verify","No SC; no cannibalisation.csv; no pre-creation collision check","Partial pass","High","Highly likely","16 indexable rows + city/area template pairs","/stays-in-{city} vs /stays-in-{city}/{area}, / vs deep pages","SEO-RULES.md §2/§3.2/§3.3/§3.5/§6, SCREENS.md §6, page-intent-map.csv","Registry pre-check + Search Console (absent)","S0,S3,S5","HARD","M","SEO eng"
"G36","Page-intent clarity","Intent-format match","Partial pass","SEO-RULES §3.2 commercial vs §3.7 informational split, §3.5 search noindex, city-facts §0 season-caveat","Unable to verify","No documented per-query SERP research; no rendered pages","Partial pass","Medium","Highly likely","16 indexable rows","/stays-in-lahore (commercial) vs /guides/where-to-stay-in-lahore (info)","SEO-RULES.md §3.2/§3.5/§3.7, city-facts.md §0","SERP research doc + manual review (absent)","S0,S3,S5","HARD","M","SEO eng + Content"
"G37","Internal linking","Crawlable anchor rule","Pass","SEO-RULES §2 descriptive anchors, §3.12 footer real <a href> no-JS-nav, §3.11 404 links, DESIGN §8.4/§8.2/§8.5","Partial pass","No code/CI broken-link check; footer card shows 38 real <a href> (correct) but 2 off-inventory hrefs; design-time: scripts/validate-screens.mjs + PostToolUse hook (2026-07-24)","Partial pass","High","Highly likely","Every page (footer) + 16 indexable rows","web-header-footer.html 38 hrefs incl. all 6 beta city pages","SEO-RULES.md §2/§3.11/§3.12, DESIGN.md §8.2/§8.4/§8.5, design-system/cards/web-header-footer.html","CI crawl/link check (absent); design-system rule (present)","S1,S2","HARD","M","Web eng"
"G38","Internal linking","Auto link-graph + orphan detector","Pass","SEO-RULES §3 per-type In/Out links; SCREENS §5.1 zero-orphan matrix; §0.3 self-audit continuity; UPGRADED post-spec: url-inventory.md §3/§5 auto link-graph + orphan detector (invariant 2); design-time internal-link-graph.json + orphan-pages.csv now built","Unable to verify","No internal-link-graph.json/internal-links.csv/orphan-pages.csv; no generator spec; no build","Partial pass","High","Highly likely","All 215 rows / 6-85 indexable pages","orphan-pages.csv (must be empty) not generated","SEO-RULES.md §3, SCREENS.md §5.1/§0.3, internal-link-graph.json + orphan-pages.csv","Build-time graph generator (absent)","S0,S2,S5","HARD","L","SEO eng + Web eng"
"G39","Internal linking","Anchor-text rules","Pass","SEO-RULES §2 descriptive-always/never-click-here, §3 per-type examples, §8 image-link alt, §3.12 footer; DESIGN §8.2","Unable to verify","No rendered HTML/CI to test over-optimisation or misleading anchors","Partial pass","Medium","Highly likely","16 indexable rows + footer (all pages)","""View stays in Lahore"", ""Read the Nikah Nama verification guide""","SEO-RULES.md §2/§3/§8/§3.12, DESIGN.md §8.2","CI anchor audit (absent); design-system rule (present)","S1,S2,S3","HARD","M","Web eng + Content"
"G40","Internal linking / IA","Breadcrumbs + schema","Pass","SEO-RULES §2 visible nav + BreadcrumbList, §3.3/§3.4/§3.8/§3.9/§3.10 per-type, §3.2 no-breadcrumb-at-city rule","Unable to verify","No rendered HTML/CI to prove visual=structured & parent canonicity","Partial pass","Medium","Highly likely","Area/listing/legal/trust/help/guide pages","Home › Islamabad › F-7 › {listing}","SEO-RULES.md §2/§3.2-3.10, SCREENS.md §2, DESIGN.md §8.4","CI schema+DOM check (absent)","S1,S2","HARD","M","Web eng"
"G41","Metadata","Title templates + uniqueness guard","Pass","SEO-RULES §3 per-type title templates + char budget + title.template suffix; §3.4 dedupe/normalise guard","Unable to verify","No code/rendered HTML; no title-uniqueness CI test","Partial pass","High","Highly likely","16 indexable rows + N listing/city instances","Stays in {City} — verified Shariah-respectful homes","SEO-RULES.md §3.1-3.10, §3.4","One title module + CI test (absent)","S0,S2,S3","HARD","M","Web eng"
"G42","Metadata","Meta-description templates","Pass","SEO-RULES §3 per-type meta + char budget + §5-verbatim claims; no cross-locale contamination rule","Unable to verify","No code/rendered HTML; no meta-uniqueness CI test","Partial pass","High","Highly likely","16 indexable rows + N instances","city meta ""Find verified stays in {City}…""","SEO-RULES.md §3.1-3.10, §5","CI meta test (absent)","S0,S2,S3","HARD","M","Web eng"
"G43","Metadata","H1 alignment","Pass","SEO-RULES §2 exactly-one-H1, §3 per-type H1, §3.4 listing H1↔title sync","Unable to verify","No rendered HTML; demo cards use H1 as demo title (component demos, not screens)","Partial pass","High","Highly likely","16 indexable rows + N instances","H1 ""Stays in {City}"" aligned to title/canonical","SEO-RULES.md §2/§3/§3.4, design-system/cards/screen-listing-detail.html","CI single-H1 + alignment test (absent)","S2,S3","HARD","M","Web eng"
"G44","Structured data","Per-type schema map","Pass","SEO-RULES §3.1-3.10 explicit JSON-LD per page type incl. penalty-aware constraints","Unable to verify","No emitters, no JSON-LD CI validation, no structured-data.csv","Partial pass","High","Highly likely","16 indexable rows","Organization+WebSite (home), LodgingBusiness (listing), Article (guide)","SEO-RULES.md §3.1-3.10, structured-data.csv","CI JSON-LD validator (absent)","S0,S2,S4","HARD","M","Web eng + SEO eng"
"G45","Structured data / Listing-content","Accommodation/Offer schema","Pass","SEO-RULES §3.4 LodgingBusiness default, no on-page price/Offer, VacationRental feed-only, attributes match pills","Unable to verify","No code/feed; on-page price checks N/A by design; feed not wired","Partial pass","High","Highly likely","GW-004 listing template (N instances)","LodgingBusiness w/ amenityFeature; no on-page Offer","SEO-RULES.md §3.4, city-facts.md §0","Feed pipeline + CI price-match (absent)","S2,S4","HARD","M","Web eng + Data"
"G46","Structured data / Trust","Ratings & reviews","Pass","SEO-RULES §3.4/§6 AggregateRating-only-with-real-reviews, §5 no fake ratings + pre-launch none, DESIGN §8 New chip not 0.0","Unable to verify","No reviews data/code; aggregate pipeline not detailed","Partial pass","High","Highly likely","GW-004 listings with reviews","AggregateRating emitted only when reviewCount>0","SEO-RULES.md §3.4/§5/§6, DESIGN.md §8","Sourced review pipeline + CI (absent)","S0,S2,S3","HARD","M","Web eng + Data"
"G47","Structured data","Organization + WebSite","Pass","SEO-RULES §3.1 Organization+WebSite/SearchAction, §7 consistent entity","Unable to verify","No code; SearchAction endpoint & real sameAs not built","Partial pass","Medium","Highly likely","Homepage (/, /ur)","Organization{name,logo,sameAs,contactPoint} + WebSite/SearchAction","SEO-RULES.md §3.1/§7","CI schema test + real endpoint (absent)","S0,S2","HARD","S","Web eng"
"G48","Structured data","Article schema","Pass","SEO-RULES §3.7/§3.10 Article w/ author+dates, §6 no misleading dates","Unable to verify","No content/code; date-integrity not enforced; author model thin (G51)","Partial pass","Medium","Highly likely","GW-009 guides, GW-020/help articles, HA-001","Article{author Person, datePublished, dateModified}","SEO-RULES.md §3.7/§3.10/§6","CI date/author test (absent)","S2,S3","HARD","M","Web eng + Content"
"G49","Structured data","FAQ/HowTo schema policy","Partial pass","SEO-RULES §3/§6/§7 FAQPage-only-if-real-verbatim, §3.10 Article-not-FAQ; DESIGN §8.8 accordion→FAQPage; HowTo policy only implicit","Unable to verify","No content/code; HowTo eligibility unwritten","Partial pass","Medium","Highly likely","GW-002/GW-006/HA-001 FAQ blocks, help articles","FAQPage only when visible Q&A matches verbatim","SEO-RULES.md §3/§6/§7/§3.10, DESIGN.md §8.8","CI FAQ-match validator (absent)","S0,S2,S3","HARD","M","Web eng + Content"
"G50","Trust and factual reliability","Business transparency pages","Partial pass","SCREENS §2 GW-006/007/008/010/011/012/013/014/020; SEO-RULES §3.8/3.9/3.12 legal+trust+footer; NOTE post-spec: testing-and-publishing §4/§5 maps GATE 50 artifacts to SCREENS rows + recommends GW-017 editorial-policy / GW-018 corrections (in page-intent-map, pending SCREENS adoption); /legal/host-terms still lacks a SCREENS row","Unable to verify","Missing Editorial policy, Correction policy, explicit Contact, legal entity/registered address; no live site","Partial pass","High","Highly likely","Legal set (6) + trust cluster (3) + support","/legal/terms, /trust-and-safety, /about","SCREENS.md §2, SEO-RULES.md §3.8/§3.9/§3.12","Content rows + CI cross-page consistency (partial/absent)","S0,S3","HARD","M","Content + Legal"
"G51","Authorship and sourcing","Author/reviewer model","Partial pass","SEO-RULES §3.7 dated byline + Article Person; §3.10 help author; NOTE post-spec: testing-and-publishing §3 author/reviewer model now specified (named authors, fact-check dates, first-hand hook); /authors/{slug} route still not in SCREENS registry → remains Partial","Unable to verify","No author-profile route, no author register, no reviewer/fact-check model, no expertise/accountability spec","Partial pass","High","Highly likely","GW-009 guides, GW-020 help, HA-001","Article author Person (byline) — but no /author/{slug} pages","SEO-RULES.md §3.7/§3.10, SCREENS.md §2 (no author row)","Author model doc + CMS (absent)","S0,S3","HARD","M","Content"
"G52","Authorship and sourcing","First-hand evidence workflow","Partial pass","city-facts.md sourced facts + [verify before publish] flags + sources; SEO-RULES §6 no-slop, §5 no pre-launch testimonials; HANDOFF §7.7 real-PK-content","Unable to verify","No content; first-hand-evidence taxonomy not fully enumerated as a workflow gate","Partial pass","Medium","Highly likely","GW-002 city pages + GW-009 guides","city-facts named areas/landmarks with source URLs; 12 verify-flags","city-facts.md §0-§7, SEO-RULES.md §5/§6, CLAUDE-DESIGN-HANDOFF.md §7.7","Content-workflow rule + review (partial)","S3","HARD","M","Content"
"G53","Trust and factual reliability","Approved-claims register + scanner","Partial pass","SEO-RULES §5 9-claim register + FORBIDDEN list + founder sign-off + app-view scope; §6; HANDOFF NEVER#3","Fail","No automated claims scanner specified/built (scripts/ empty; no SEO CI); enforcement is manual §9 checklist only; design-time: scripts/validate-screens.mjs + PostToolUse hook (2026-07-24)","Partial pass","High","Confirmed","All user-facing copy (web + app views)","banned: ""best"",""#1"",""10,000+ hosts"",""guaranteed halal""","SEO-RULES.md §5/§6/§9, CLAUDE-DESIGN-HANDOFF.md, (missing) scripts/claims-scanner","CI claims scanner (ABSENT) + manual checklist (present)","S2,S3","HARD","M","SEO eng"
"G54","Authorship and sourcing","Sources + freshness","Pass","city-facts.md sources + verify-flags + qualitative-loadshedding + price-placeholder; SEO-RULES §3.7 dateModified, §3.4 feed-driven, §6 no misleading dates; UPGRADED post-spec: source-of-truth §3 R5 fact versioning/dating (verified_at store) + testing-and-publishing §2 mandatory source dates + staleness job","Unable to verify","No automated staleness process spec; no dates-store model; no source-requirement matrix","Partial pass","High","Highly likely","GW-002 city, GW-009 guides, GW-012 policy","city-facts 12 open verify-flags; load-shedding never fixed number","city-facts.md §0/§7, SEO-RULES.md §3.4/§3.7/§6","Staleness job + CI (absent); verify-flag review (manual)","S0,S3,S5","HARD","M","SEO eng + Content"
"G55","Listing-content consistency","Web↔booking-flow consistency check","Pass","S0 spec now designs the 6-surface automated comparison: testing-and-publishing.md §6 (Listing↔booking consistency checks, GATE 55) — page HTML / listing+search API / checkout / app render / availability calendar / confirmation email; field matrix (nightly price / total+fees+taxes / capacity+bedrooms+bathrooms / names / amenities / house rules / cancellation+refund); contract fixtures vs @salamstay/* schemas + golden-listing set; runs S2 on fixtures + S4 vs staging; ties source-of-truth F9-F16 one-fact-source (mismatch structurally impossible)","Fail","No booking flow, no API, no CI cross-surface diff exists; the check runs only once the @salamstay/* API + checkout + app + confirmation-email integrations exist (S2 fixtures / S4 staging)","Partial pass","High","Highly likely","GW-004 listings + checkout surfaces","nightly/total/fees/capacity/amenities/house-rules parity checks","SEO-RULES.md §3.4, (missing) consistency-check spec","CI cross-surface diff (absent)","S2,S4","HARD","L","Data + Web eng"
"G56","Listing-content consistency","Host/listing validation","Pass","SCREENS §2 host wizard structured toggles (HA-023/024/026/030/031); SEO-RULES §3.4 pills match schema; DESIGN §8.2 data-driven card; UPGRADED post-spec: source-of-truth F11-F13 + entity §6 amenity vocab (no fallback) + tests #19/#20/#36 listing-exists/bookable/location-match","Unable to verify","No listing-exists/bookable check; no fallback-name guard; no location-mismatch check; no inventory","Partial pass","High","Highly likely","GW-004 listings, GW-002/003 rails","amenity pills sourced from listing, not free text","SCREENS.md §2, SEO-RULES.md §3.4, DESIGN.md §8.2","CI inventory-match (absent)","S2,S3","HARD","M","Data + Web eng"
"G57","Images and media","Image standards","Pass","SEO-RULES §8 alt pattern + no-keyword-dump + decorative empty + pyramid + CLS0 + next/image; DESIGN §12 + §8.2 + §7","Unable to verify","No rendered HTML/CI; demo cards use placeholder alt="""" (not real pattern yet); design-time: scripts/validate-screens.mjs + PostToolUse hook (2026-07-24)","Partial pass","Medium","Highly likely","Every image-bearing indexable page","alt ""2-bed home in F-7, Islamabad — halal kitchen""","SEO-RULES.md §8, DESIGN.md §12/§8.2/§7, design-system/cards/listing-card.html","CI alt/pyramid test (absent); design-system rule (present)","S1,S2,S3","HARD","M","Web eng + Design"
