"source","target","link_type","anchor_rule_ref"
"about","legal:host-terms","contextual","SEO-RULES §3.9 relevant legal policies"
"about","home","contextual","SEO-RULES §3.9 homepage"
"about","help","contextual","SEO-RULES §3.9 help hub"
"help","help-article","card","SEO-RULES §3.10 category grid -> articles"
"help","home","contextual","SEO-RULES §3.10"
"help-article","help","breadcrumb","SEO-RULES §3.10 Help>Category>Article breadcrumb; parent hub"
"help-article","help-article","card","SEO-RULES §3.10 related articles"
"help-article","city:lahore","contextual","SEO-RULES §3.10 product page/flow the article documents"
"help-article","listing","contextual","SEO-RULES §3.10 product page/flow"
"guide","city:lahore","contextual","SEO-RULES §3.7 relevant city"
"guide","area","contextual","SEO-RULES §3.7 relevant area"
"guide","listing","contextual","SEO-RULES §3.7 relevant listing"
"guide","guide","card","SEO-RULES §3.7 related guides"
"legal:terms","home","contextual","SEO-RULES §3.8 homepage"
"legal:privacy","home","contextual","SEO-RULES §3.8 homepage"
"legal:guest-refund-policy","home","contextual","SEO-RULES §3.8 homepage"
"legal:host-terms","home","contextual","SEO-RULES §3.8 homepage"
"legal:cookie-policy","home","contextual","SEO-RULES §3.8 homepage"
"legal:community-standards","home","contextual","SEO-RULES §3.8 homepage"
"legal:editorial-policy","home","contextual","SEO-RULES §3.8 homepage"
"legal:corrections","home","contextual","SEO-RULES §3.8 homepage"
"legal:terms","legal:privacy","contextual","SEO-RULES §3.8 related policies"
"legal:terms","legal:guest-refund-policy","contextual","SEO-RULES §3.8 related policies"
"legal:terms","legal:host-terms","contextual","SEO-RULES §3.8 related policies"
"legal:terms","legal:community-standards","contextual","SEO-RULES §3.8 related policies"
"legal:privacy","legal:terms","contextual","SEO-RULES §3.8 related policies"
"legal:privacy","legal:cookie-policy","contextual","SEO-RULES §3.8 related policies"
"legal:guest-refund-policy","legal:terms","contextual","SEO-RULES §3.8 related policies"
"legal:host-terms","legal:terms","contextual","SEO-RULES §3.8 related policies"
"legal:cookie-policy","legal:privacy","contextual","SEO-RULES §3.8 related policies"
"legal:community-standards","legal:terms","contextual","SEO-RULES §3.8 related policies"
"legal:editorial-policy","legal:corrections","contextual","SEO-RULES §3.8 related policies"
"legal:corrections","legal:editorial-policy","contextual","SEO-RULES §3.8 related policies"
"404","home","contextual","SEO-RULES §3.11 recovery link"
"404","search","contextual","SEO-RULES §3.11 recovery link"
"404","city:islamabad","contextual","SEO-RULES §3.11 6 beta city recovery links"
"404","city:karachi","contextual","SEO-RULES §3.11 6 beta city recovery links"
"404","city:lahore","contextual","SEO-RULES §3.11 6 beta city recovery links"
"404","city:peshawar","contextual","SEO-RULES §3.11 6 beta city recovery links"
"404","city:faisalabad","contextual","SEO-RULES §3.11 6 beta city recovery links"
"404","city:rawalpindi","contextual","SEO-RULES §3.11 6 beta city recovery links"
